=== TRAIN オノマトペデータセット合成ログ ===
生成時刻: 2025-10-29 18:30:14
目標画像数: 400
      スケール比: 0.0762
    オノマトペ4: 066.png
      元サイズ: 1024x1536
      クロップサイズ: 425x1159
      最終サイズ: 31x85
      配置位置: (1488,158)
      スケール: 0.001706
      スケール比: 0.0202
    オノマトペ5: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 29x74
      配置位置: (849,670)
      スケール: 0.001410
      スケール比: 0.0189
    オノマトペ6: 040.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 218x92
      配置位置: (202,853)
      スケール: 0.012850
      スケール比: 0.1419
    オノマトペ7: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 46x31
      配置位置: (1002,630)
      スケール: 0.000930
      スケール比: 0.0299
    オノマトペ8: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 93x21
      配置位置: (835,961)
      スケール: 0.001286
      スケール比: 0.0605
    オノマトペ9: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 30x88
      配置位置: (572,33)
      スケール: 0.001724
      スケール比: 0.0195
    オノマトペ10: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 43x129
      配置位置: (1413,379)
      スケール: 0.003536
      スケール比: 0.0280
    オノマトペ11: 034.png
      元サイズ: 1024x1024
      クロップサイズ: 857x471
      最終サイズ: 81x44
      配置位置: (444,454)
      スケール: 0.002316
      スケール比: 0.0527
    オノマトペ12: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 20x43
      配置位置: (483,875)
      スケール: 0.000563
      スケール比: 0.0130
    オノマトペ13: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 35x98
      配置位置: (742,101)
      スケール: 0.002209
      スケール比: 0.0228
    オノマトペ14: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 107x60
      配置位置: (1115,923)
      スケール: 0.004109
      スケール比: 0.0697
    オノマトペ15: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 61x30
      配置位置: (1320,367)
      スケール: 0.001199
      スケール比: 0.0397

画像 057.png:
  背景ファイル: 057.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 6
    オノマトペ1: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 32x93
      配置位置: (931,93)
      スケール: 0.001922
      スケール比: 0.0208
    オノマトペ2: 061.png
      元サイズ: 1024x1536
      クロップサイズ: 391x1047
      最終サイズ: 35x94
      配置位置: (1357,217)
      スケール: 0.002099
      スケール比: 0.0228
    オノマトペ3: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 58x32
      配置位置: (1314,654)
      スケール: 0.001203
      スケール比: 0.0378
    オノマトペ4: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 56x31
      配置位置: (1222,21)
      スケール: 0.001121
      スケール比: 0.0365
    オノマトペ5: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 51x26
      配置位置: (103,805)
      スケール: 0.000857
      スケール比: 0.0332
    オノマトペ6: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 53x106
      配置位置: (683,249)
      スケール: 0.003612
      スケール比: 0.0345

画像 058.png:
  背景ファイル: 058.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 43x95
      配置位置: (477,336)
      スケール: 0.002680
      スケール比: 0.0280
    オノマトペ2: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 59x34
      配置位置: (302,807)
      スケール: 0.001283
      スケール比: 0.0384
    オノマトペ3: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 16x46
      配置位置: (1220,2)
      スケール: 0.000500
      スケール比: 0.0104
    オノマトペ4: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 69x40
      配置位置: (567,879)
      スケール: 0.001790
      スケール比: 0.0449

画像 059.png:
  背景ファイル: 059.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 5
    オノマトペ1: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 134x74
      配置位置: (1353,887)
      スケール: 0.006325
      スケール比: 0.0872
    オノマトペ2: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 25x55
      配置位置: (52,134)
      スケール: 0.000889
      スケール比: 0.0163
    オノマトペ3: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 33x69
      配置位置: (30,366)
      スケール: 0.001500
      スケール比: 0.0215
    オノマトペ4: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 15x71
      配置位置: (487,602)
      スケール: 0.000723
      スケール比: 0.0098
    オノマトペ5: 016.png
      元サイズ: 1024x1024
      クロップサイズ: 281x792
      最終サイズ: 58x165
      配置位置: (663,16)
      スケール: 0.006159
      スケール比: 0.0378

画像 060.png:
  背景ファイル: 060.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 24x108
      配置位置: (1215,111)
      スケール: 0.001698
      スケール比: 0.0156
    オノマトペ2: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 102x232
      配置位置: (925,515)
      スケール: 0.015133
      スケール比: 0.0664
    オノマトペ3: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 41x123
      配置位置: (453,629)
      スケール: 0.003266
      スケール比: 0.0267
    オノマトペ4: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 34x75
      配置位置: (88,744)
      スケール: 0.001642
      スケール比: 0.0221
    オノマトペ5: 059.png
      元サイズ: 1024x1536
      クロップサイズ: 453x1037
      最終サイズ: 32x74
      配置位置: (1349,533)
      スケール: 0.001544
      スケール比: 0.0208
    オノマトペ6: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 43x25
      配置位置: (617,469)
      スケール: 0.000701
      スケール比: 0.0280
    オノマトペ7: 026.png
      元サイズ: 1024x1024
      クロップサイズ: 818x203
      最終サイズ: 107x26
      配置位置: (1317,987)
      スケール: 0.001810
      スケール比: 0.0697
    オノマトペ8: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 40x115
      配置位置: (63,62)
      スケール: 0.002946
      スケール比: 0.0260
    オノマトペ9: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 60x168
      配置位置: (873,702)
      スケール: 0.006487
      スケール比: 0.0391
    オノマトペ10: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 34x110
      配置位置: (221,502)
      スケール: 0.002419
      スケール比: 0.0221
    オノマトペ11: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 54x42
      配置位置: (1458,931)
      スケール: 0.001451
      スケール比: 0.0352
    オノマトペ12: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 71x27
      配置位置: (908,75)
      スケール: 0.001239
      スケール比: 0.0462
    オノマトペ13: 010.png
      元サイズ: 1536x1024
      クロップサイズ: 1090x493
      最終サイズ: 83x37
      配置位置: (165,329)
      スケール: 0.001990
      スケール比: 0.0540
    オノマトペ14: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 32x90
      配置位置: (1245,151)
      スケール: 0.001877
      スケール比: 0.0208
    オノマトペ15: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 58x120
      配置位置: (134,129)
      スケール: 0.004481
      スケール比: 0.0378

画像 061.png:
  背景ファイル: 061.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 11
    オノマトペ1: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 43x24
      配置位置: (234,873)
      スケール: 0.000670
      スケール比: 0.0280
    オノマトペ2: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 77x46
      配置位置: (1340,666)
      スケール: 0.002283
      スケール比: 0.0501
    オノマトペ3: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 35x67
      配置位置: (1129,738)
      スケール: 0.001513
      スケール比: 0.0228
    オノマトペ4: 069.png
      元サイズ: 1024x1024
      クロップサイズ: 420x942
      最終サイズ: 38x86
      配置位置: (440,440)
      スケール: 0.002098
      スケール比: 0.0247
    オノマトペ5: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 53x26
      配置位置: (924,909)
      スケール: 0.000904
      スケール比: 0.0345
    オノマトペ6: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 38x80
      配置位置: (694,847)
      スケール: 0.001987
      スケール比: 0.0247
    オノマトペ7: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 144x55
      配置位置: (928,408)
      スケール: 0.005104
      スケール比: 0.0938
    オノマトペ8: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 47x27
      配置位置: (851,747)
      スケール: 0.000809
      スケール比: 0.0306
    オノマトペ9: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 37x111
      配置位置: (194,320)
      スケール: 0.002656
      スケール比: 0.0241
    オノマトペ10: 061.png
      元サイズ: 1024x1536
      クロップサイズ: 391x1047
      最終サイズ: 30x81
      配置位置: (874,320)
      スケール: 0.001578
      スケール比: 0.0195
    オノマトペ11: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 142x29
      配置位置: (1362,261)
      スケール: 0.002626
